Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,10uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C2,1,1uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C3,1,100nF,,,,Capacitor_SMD:C_0805_2012Metric,~
D1,1,1N5822,,,,footprints:DIOAD1990W125L900D530,
"D2,D3,D4",3,1N4007,,,,footprints:P1_DO-41,https://diotec.com/de/produktliste/D.html
IC1,1,TEENSY_4.1,,,,footprints:TEENSY41,
J3,1,XT60-M,,,,footprints:AMASS_XT60-M,
LED1,1,COM-16347,,,,footprints:COM-16347_SPK,COM-16347
LS1,1,CMI-1295-0585T,,,,footprints:CUI_CMI-1295-0585T,
"M1,M2",2,Motor_Servo,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,http://forums.parallax.com/uploads/attachments/46831/74481.png
"P1,P2,P3,P4",4,282837-2,,,,footprints:TE_282837-2,
"Q1,Q2,Q3",3,IRLZ44NSTRLPBF,,,,footprints:NMOSGDS_D2PAK_INF,https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727
"R2,R3,R5,R7",4,470,,,,Resistor_SMD:R_0805_2012Metric,~
R8,1,10k,,,,Resistor_SMD:R_0805_2012Metric,~
R9,1,4.7k,,,,Resistor_SMD:R_0805_2012Metric,~
S2,1,TS02-66-70-BK-100-LCR-D,,,,footprints:SW_TS02-66-70-BK-100-LCR-D,
U1,1,L7805CV,,,,footprints:TO255P1040X460X1968-3,
U2,1,GY-521,,,,footprints:MODULE_GY-521,
U3,1,MPL3115A2,,Amazon,,footprints:MPL3115A2,
